iter	Passed	Remaining
0	0	71
1	1	69
2	2	73
3	3	69
4	4	69
5	5	68
6	6	66
7	7	65
8	8	70
9	9	68
10	10	66
11	11	63
12	14	75
13	15	72
14	16	69
15	16	66
16	17	64
17	18	62
18	18	60
19	19	58
20	20	56
21	30	79
22	30	76
23	31	74
24	32	71
25	33	69
26	34	67
27	35	65
28	35	63
29	36	61
30	37	59
31	38	57
32	39	55
33	40	54
34	41	52
35	41	51
36	42	49
37	43	48
38	44	46
39	45	45
40	45	43
41	46	42
42	47	40
43	48	39
44	48	37
45	49	36
46	49	35
47	50	33
48	51	32
49	51	31
50	59	33
51	59	32
52	60	30
53	61	29
54	62	28
55	62	26
56	63	25
57	64	24
58	64	23
59	65	21
60	65	20
61	66	19
62	67	18
63	67	16
64	68	15
65	69	14
66	69	13
67	70	12
68	70	11
69	71	10
70	72	9
71	72	8
72	73	7
73	74	6
74	74	4
75	75	3
76	76	2
77	76	1
78	88	1
79	89	0
